시설명,분류,객실수,인원수,정상금액,평일/일반 금액,평일/달성군민 금액,주말/일반 금액,주말/달성군민 금액,성수기/평일/일반 금액,성수시/평일/달성군민 금액,성수시/주말/일반 금액,성수시/주말/달성군민 금액,홈페이지예약/평일/일반 기간한정 특별할인금액(2021.12.31.까지/성수기제외),홈페이지예약/주말/일반 기간한정 특별할인금액(2021.12.31.까지/성수기제외),평일/달성군민 기간한정 특별할인금액(2021.12.31.까지/성수기제외),주말/달성군민 기간한정 특별할인금액(2021.12.31.까지/성수기제외),청소년 정상가
호텔아젤리아,Double,7,2,"80,000","64,000","51,200","80,000","64,000","80,000","64,000","80,000","64,000","40,000","48,000","40,000","48,000","60,000"
호텔아젤리아,Twin,4,2,"80,000","64,000","51,200","80,000","64,000","80,000","64,000","80,000","64,000","40,000","48,000","40,000","48,000","60,000"
호텔아젤리아,Family Twin,18,4,"100,000","80,000","64,000","100,000","80,000","100,000","80,000","100,000","80,000","50,000","60,000","50,000","60,000","80,000"
호텔아젤리아,Double Ondol,17,4,"100,000","80,000","64,000","100,000","80,000","100,000","80,000","100,000","80,000","50,000","60,000","50,000","60,000","80,000"
호텔아젤리아,Ondol,16,4,"100,000","80,000","64,000","100,000","80,000","100,000","80,000","100,000","80,000","50,000","60,000","50,000","60,000","80,000"
호텔아젤리아,Deluxe Double Ondol,4,3,"110,000","88,000","70,400","110,000","88,000","110,000","88,000","110,000","88,000","55,000","66,000","55,000","66,000","90,000"
호텔아젤리아,Deluxe Single Twin,5,3,"110,000","88,000","70,400","110,000","88,000","110,000","88,000","110,000","88,000","55,000","66,000","55,000","66,000","90,000"
호텔아젤리아,Biseul Suite,2,8,"160,000","128,000","102,400","160,000","128,000","160,000","128,000","160,000","128,000","80,000","96,000","80,000","96,000","130,000"
호텔아젤리아,Ondol Suite,2,8,"160,000","128,000","102,400","160,000","128,000","160,000","128,000","160,000","128,000","80,000","96,000","80,000","96,000","130,000"
호텔아젤리아,Dalseong Suite,2,8,"160,000","128,000","102,400","160,000","128,000","160,000","128,000","160,000","128,000","80,000","96,000","80,000","96,000","130,000"
호텔아젤리아,Kids Deluxe Double(할인불가),1,2(2),"110,000","110,000","110,000","110,000","110,000","110,000","110,000","110,000","110,000","110,000","110,000","110,000","110,000","90,000"
,,,,,할인율(20%),할인율(36%),할인율(0%),할인율(20%),할인율(0%),할인율(20%),할인율(0%),할인율(20%),할인율(50%),할인율(40%),할인율(50%),할인율(40%),순수청소년만 투숙시(할인율 동일적용)
